YEAR, TITLE, AUTHORS, MS, PT, W, A, PLa, TAGS
2004 ,  Inverting the Burrows-Wheeler transform                                                                ,  Richard Bird; S. Mu                                                                ,   ,        ,   ,    ,    ,  PD PLT
2004 ,  An algebra of scans                                                                                    ,  Ralf Hinze                                                                         ,   ,        ,   ,    ,    ,  FOLD
2004 ,  An introduction to lambda calculi for computer scientists                                              ,  Chris Hankin                                                                       , LC,        ,   ,    ,    ,  LC
2003 ,  Arithmetic coding with folds and unfolds                                                               ,  Richard Bird; J. Gibbons                                                           ,   ,        ,   ,    ,    ,  PD PLT
2003 ,  Rebuilding a tree from its traversals: a case study of program inversion                               ,  S. Mu; Richard Bird                                                                ,   ,        ,   ,    ,    ,  ALG TREE
2003 ,  Lectures in Logic and Set Theory: Volume 1; Mathematical Logic                                         ,  George Tourlakis                                                                   ,   ,        ,   ,    ,    ,  LO ST
2003 ,  Theory and applications of inverting functions as folds                                                ,  S. Mu; Richard Bird                                                                ,   ,        ,   ,    ,    ,  FOLD
2002 ,  Constructing tournament representations: an exercise in pointwise relational programming               ,  Ralf Hinze                                                                         ,   ,        ,   ,    ,    ,  PLT
2002 ,  The countdown problem                                                                                  ,  G. Hutton                                                                          ,   ,        ,   ,    ,    ,  ALG
2002 ,  Galois connections and fixed point calculus                                                            ,  R. Backhouse                                                                       ,   ,        ,   ,    ,    ,  PD PLT
2002 ,  Algebraic and Coalgebraic Methods in the Mathematics of Program Construction                           ,  R. Backhouse; Crole; R.; J. Gibbons (eds.)                                         ,   ,        ,   ,    ,    ,  PD PLT
2002 ,  Algebraic methods for optimization problems                                                            ,  Richard Bird; J. Gibbons; S. Mu                                                    ,   ,        ,   ,    ,    ,  PD PLT
2002 ,  Calculating functional programs                                                                        ,  J. Gibbons                                                                         ,   ,        ,   ,    ,    ,  PD PLT
2002 ,  Towards a modular program derivation via fusion and tupling                                            ,  W. Chin; Z. Hu                                                                     ,   ,        ,   ,    ,    ,  PD PLT
2001 ,  Maximum marking problems                                                                               ,  Richard Bird                                                                       ,   ,        ,   ,    ,    ,  PD PLT
2001 ,  More Church-Rosser proofs (in Isabelle/HOL)                                                            ,  T. Nipkow                                                                          ,   ,        ,   ,    ,    ,  PT
2001 ,  When is a function a fold or an unfold                                                                 ,  J. Gibbons; G. Hutton.; T. Altenkirch                                              ,   ,        ,   ,    , HS ,  FOLD HASKELL
2000 ,  Perfect trees and bit-reversal permutations                                                            ,  Ralpf Hinze                                                                        ,   ,        ,   ,    ,    ,  ALG TREE
2000 ,  Make it practical: a generic linear-time algorithm for solving maximum-weight sum problems             ,  I. Sasano; Z. Hu; M. TakeichiOgawa                                                 ,   ,        ,   ,    ,    ,  ALG
2000 ,  Logic for Programming and Automated Reasoning                                                          ,  M. Parigot; A. Voronkov                                                            , LC,        ,   ,    ,    ,  LC LO
2000 ,  AJL-calculus: an algorithmic interpretation of classical natural deduction                             ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
2000 ,  On the computational interpretation of negation                                                        ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
2000 ,  Strong normalization of second order symmetric lambda-calculus                                         ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
2000 ,  Introduction to lambda calculus                                                                        ,  Henk Barendregt; Erik Barendsen                                                    ,   , SEMINAL,   ,    ,    ,  LC
1999 ,  Mendler-style inductive types; categorically                                                           ,  Tarmo Uustalu; Varmo Vene                                                          , LC,        ,   ,    ,    ,  LC
1999 ,  Type Theory and Functional Programming                                                                 ,  Simon Thompson                                                                     ,   , BOOK   ,   ,    ,    ,  FP TT
1999 ,  A tutorial on the universality and expressiveness of fold                                              ,  G. Hutton                                                                          ,   ,        ,   ,    , HS ,  FOLD
1999 ,  Program optimisation; naturally                                                                        ,  R. Bird; J. Gibbons; G. Jones                                                      ,   ,        ,   ,    ,    ,  PD PLT
1999 ,  Bridging the algorithm gap: A linear-time functional program for paragraph formatting                  ,  O. de Moor; J. Gibbons                                                             ,   ,        ,   ,    ,    ,  PD PLT
1999 ,  Primitive (co)recursion and course-of-value (co)iteration; categorically                               ,  Tarmo Uustalu; Varmo Vene                                                          , LC,        ,   ,    ,    ,  LC CT
1999 ,  A pointless derivation of radixsort                                                                    ,  J. Gibbons                                                                         ,   ,        ,   ,    ,    ,  PD PLT
1998 ,  Introduction to Functional Programming using Haskell                                                   ,  Richard Bird                                                                       ,   , BOOK   ,   ,    , HS ,  FP
1998 ,  The under-appreciated unfold                                                                           ,  J. Gibbons; G. Jones                                                               ,   ,        ,   ,    , HS ,  FOLD
1997 ,  Proofs of strong normalisation for second order classical natural deduction                            ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC LO PT
1997 ,  The impact of the lambda calculus in logic and computer science                                        ,  Hendrik Barendregt                                                                 , LC,        ,   ,    ,    ,  LC
1997 ,  Algebra of Programming. International Series in Computer Science                                       ,  R. Bird; O. de Moor                                                                ,   , BOOK   ,   ,    ,    ,  AA
1997 ,  On building trees with minimum height                                                                  ,  Richard Bird                                                                       ,   ,        ,   ,    ,    ,  PD PLT
1997 ,  A tutorial on (co)algebras and (co)induction                                                           ,  B. Jacobs; J. Rutten                                                               ,   ,        ,   ,    ,    ,  AA CT
1997 ,  Computability and complexity: from a programming perspective                                           ,  N. Jones                                                                           ,   , BOOK   ,   ,    ,    ,  ToC
1996 ,  Programmer avec Scheme - de la pratique a la theorie                                                   ,  Jacques Chazarain                                                                  ,   , BOOK   ,   ,    , SCH,  ToC
1996 ,  Functional algorithm design                                                                            ,  Richard Bird                                                                       ,   ,        ,   ,    , HS ,  ALG FP
1996 ,  Construction of list homomorphisms via tupling and fusion                                              ,  Z. Hu; H. Iwasaki; M. Takeichi                                                     ,   ,        ,   ,    , HS ,  PD PLT
1996 ,  Deriving structural hylomorphisms from recursive definitions                                           ,  Z. Hu; H. Iwasaki; M. Takeichi                                                     ,   ,        ,   ,    , HS ,  PD PLT CT
1995 ,  Parallel reductions in λ-calculus                                                                      ,  M. Takahashi                                                                       , LC,        ,   ,    ,    ,  LC
1995 ,  Bananas in space: extending fold and unfold to exponential types                                       ,  E. Meijer; G. Hutton                                                               ,   ,        ,   ,    , HS ,  FOLD
1995 ,  Merging monads and folds for functional programming                                                    ,  E. Meijer; J. Jeuring                                                              ,   ,        ,   ,    , HS ,  FOLD FP
1995 ,  Shortcut deforestation in calculational form                                                           ,  A. Takano; E. Meijer                                                               ,   ,        ,   ,    , HS ,  FOLD
1995 ,  A tutorial on co-induction and functional programming                                                  ,  A. Gordon                                                                          ,   ,        ,   ,    , HS ,  FOLD FP
1994 ,  The lambda calculus - its syntax and semantics (second edition)                                        ,  Hendrik Barendregt                                                                 , LC,        ,   ,    ,    ,  LC
1994 ,  Some Results on Numeral Systems in λ-Calculus                                                          ,  Benedetto Intrigila                                                                , LC, PEARL  ,   ,    ,    ,  LC
1994 ,  An introduction to the Bird-Meertens formalism                                                         ,  J. Gibbons                                                                         ,   ,        ,   ,    , HS ,  PD PLT
1994 ,  The derivation of on-line algorithms; with an application to finding palindromes                       ,  J. Jeuring                                                                         ,   ,        ,   ,    , HS ,  ALG
1993 ,  Constant time reductions in lambda-calculus                                                            ,  M. Parigot; P. Roziere                                                             , LC,        ,   ,    ,    ,  LC
1993 ,  Church-Rosser property in classical free deduction                                                     ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
1993 ,  Classical proofs as programs                                                                           ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC PT
1993 ,  Strong normalization for second order classical natural deduction                                      ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
1993 ,  A formalization of the strong normalization proof for System F in LEGO                                 ,  T. Altenkirch                                                                      , LC,        ,   ,    ,    ,  LC TT PT
1993 ,  Types for the Scott numerals                                                                           ,  M. Abadi; L. Cardelli; G. Plotkin                                                  , LC,        ,   ,    ,    ,  LC
1993 ,  Linear-time breadth-first tree algorithms: an exercise in the arithmetic of folds and zips             ,  J. Gibbons; G. Jones                                                               ,   ,        ,   ,    , HS ,  ALG TREE FOLD ZIP
1992 ,  ProPre - A programming language with proofs                                                            ,  P. Manoury; M. Parigot; M. Simonot                                                 , LC,        ,   ,    ,    ,  LC PT
1992 ,  Free deduction: An analysis of 'computations' in classical logic                                       ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
1992 ,  Logic Programming: First Russian Conference on Logic Programming                                       ,  M. Parigot                                                                         ,   ,        ,   ,    ,    ,  LC TT LO LP
1992 ,  Recursive programming with proofs                                                                      ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC PT
1992 ,  λμ-calculus: an algorithmic interpretation of classical natural deduction                              ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
1992 ,  Inductive and coinductive types with iteration and recursion                                           ,  Herman Geuvers                                                                     ,   ,        ,   ,    ,    ,  LC CT
1992 ,  Efficient self-interpretations in lambda calculus                                                      ,  Torben Æ. Mogensen                                                                 , LC,        ,   ,    ,    ,  LC
1992 ,  Combining angels; demons and miracles in program specifications                                        ,  R. J. R. Back; J. von Wright                                                       ,   ,        ,   ,    ,    ,  PD PLT
1992 ,  Longest segment problems                                                                               ,  H. Zantema                                                                         ,   ,        ,   ,    ,    ,  ALG
1992 ,  Recursive programming with proofs                                                                      ,  Michel Parigot                                                                     ,   ,        ,   ,    ,    ,  LC PT
1991 ,  Inductive types and type constraints in the second-order lambda calculus                               ,  Nax Paul Mendler                                                                   , LC,        ,   ,    ,    ,  LC
1991 ,  An unsolvable numeral system in lambda calculus                                                        ,  Erik Barendsen                                                                     , LC,        ,   ,    ,    ,  LC
1991 ,  Relational catamorphisms                                                                               ,  R. Backhouse; N. de Bruijn; G. Malcolm; E. Voermans; J. van der Woude              ,   ,        ,   ,    ,    ,  PD PLT CT
1991 ,  Functional programming with bananas; lenses; envelopes and barbed wire                                 ,  E. Meijer; M. Fokkinga; R. Paterson                                                ,   ,        ,   ,    , HS ,  FOLD CT FP
1991 ,  Incremental algorithms on lists                                                                        ,  J. Jeuring                                                                         ,   ,        ,   ,    ,    ,  ALG LIST
1991 ,  Inductive types and type constraints in the second-order lambda calculus                               ,  Nax Paul Mendler                                                                   , LC,        ,   ,    ,    ,  LC
1990 ,  Proofs and Types                                                                                       ,  J. Y. Girard; Y. Lafont; P. Taylor                                                 , LC, BOOK   ,   ,    ,    ,  LC PT TT
1990 ,  Internal labellings in lambda-calculus                                                                 ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
1990 ,  Programming with proofs                                                                                ,  J. Krivine; M. Parigot                                                             , LC, SEMINAL,   ,    ,    ,  LC
1990 ,  Programming with proofs                                                                                ,  Jean-Louis Krivine; Michel Parigot                                                 ,   ,        ,   ,    ,    ,  LC PT
1990 ,  Programming languages - an interpreter-based approach                                                  ,  Samuel Kamin                                                                       ,   ,        ,   ,    ,    ,  PLT
1990 ,  Programming: the derivation of algorithms                                                              ,  A. Kaldewaij                                                                       ,   ,        ,   ,    ,    ,  PD PT PLT
1990 ,  Inorder traversal of a binary tree and its inversion                                                   ,  D. Gries; J. van de Snepscheut                                                     ,   ,        ,   ,    ,    ,  ALG
1989 ,  Equipe de Logique                                                                                      ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
1989 ,  On the representation of data in lambda-calculus                                                       ,  M. Parigot                                                                         , LC,        ,   ,    ,    ,  LC
1989 ,  On Girard's 'candidats de réductibilité'                                                               ,  J. Gallier                                                                         , LC,        ,   ,    ,    ,  LC TT
1989 ,  Proofs and types                                                                                       ,  J. Y. Girard; Y. Lafont; P. Taylor                                                 ,   ,        ,   ,    ,    ,  TT PT
1989 ,  An introduction to functional programming through lambda calculus                                      ,  Greg Michaelson                                                                    , LC,        ,   ,    ,    ,  LC
1989 ,  A note on categorical datatypes                                                                        ,  G. C. Wraith                                                                       , LC,        ,   ,    ,    ,  LC
1989 ,  Lectures on constructive functional programming                                                        ,  Richard Bird                                                                       ,   ,        ,   ,    ,    ,  PD PLT
1989 ,  The maximum-segment-sum problem                                                                        ,  D. Gries                                                                           ,   ,        ,   ,    ,    ,  ALG
1988 ,  A calculus of refinements for program derivations                                                      ,  R. J. R. Back                                                                      ,   ,        ,   ,    ,    ,  PD PLT
